offset,entry_multiplier,exit_multiplier,amount,entry_timeout,exit_timeout,prevent_entries,prevent_exits,buys_allowed,sells_allowed,rsiOS,rsiOB,rsiPeriod,trailing_entry,stop_loss,trailing_tp,delay_profit,delay_stop,active_above,active_below,entry_id
470,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip4.5
675,1,2,50,50,9999,FALSE,FALSE,TRUE,FALSE,17,68,9,0,0,0,0,0,0,0,dip4.6
475,1,10,10,999,9999,FALSE,TRUE,TRUE,FALSE,17,55,43,0,0,0,0,0,0,0,dip4.7
550,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,22,55,43,0,0,0,0,0,0,0,dip4.8
750,1,0.1,10,999,9999,FALSE,TRUE,TRUE,FALSE,25,55,43,0,0,0,0,0,0,0,dip4.9
1250,1,1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,0,0,0,0,0,0,0,dip4.10
1650,1,0.1,50,999,9999,FALSE,TRUE,TRUE,FALSE,36,55,43,58,0,0,0,0,0,0,dip4.11
40,1,0.2,10,5,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.1
90,1,1.6,10,5,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.2
220,1,2.2,30,10,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.3
460,1,1.2,50,15,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.4
140,1,0.2,20,5,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.5
290,1,0.5,20,5,9999,FALSE,TRUE,TRUE,FALSE,57,55,43,0,0,0,0,0,0,0,dip2.6
340,1,2,60,10,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.7
525,1,1.3,80,15,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.8
665,1,2,60,10,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.9
785,1,1.3,80,15,9999,FALSE,FALSE,TRUE,FALSE,57,71,14,0,0,0,0,0,0,0,dip2.10
